A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,D
5,3,11,5,8,3,4,3,5,8,1,0,6,0,6,1,L
8,2,1,2,1,1,7,6,10,0,7,8,8,6,6,0,M
5,3,5,5,3,2,4,11,3,6,12,10,5,1,11,2,Y
7,6,11,8,8,5,9,7,3,5,10,4,6,6,8,1,N
6,5,9,6,7,5,8,7,6,5,8,7,7,3,6,4,J
8,4,5,5,7,3,7,7,15,0,7,6,8,3,8,0,H
11,7,9,6,4,3,8,7,5,5,9,4,9,6,5,6,R
8,4,9,5,7,5,10,6,4,5,10,3,6,3,7,3,D
8,4,10,4,8,1,0,1,6,6,0,0,6,0,8,0,L
8,5,11,7,8,6,8,9,5,4,12,5,4,2,10,3,P
8,1,0,2,1,0,8,7,6,3,6,6,9,2,8,3,Q
10,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,B
6,2,5,2,3,1,4,3,3,7,2,2,6,0,7,0,L
11,6,10,7,8,3,8,7,8,8,6,6,9,2,7,6,G
8,5,11,4,8,3,8,8,2,4,12,4,5,2,9,7,J
6,4,11,6,8,4,6,9,3,10,11,9,6,1,9,6,Z
8,1,0,1,0,0,7,7,10,2,7,6,8,2,8,0,H
7,5,9,8,7,5,4,10,3,3,9,9,9,6,7,2,N
5,3,5,4,4,2,4,11,2,7,11,10,6,1,11,2,Y
5,5,10,6,8,4,5,3,6,9,1,1,4,1,6,1,L
8,7,12,7,6,4,6,6,4,6,12,9,11,3,8,7,L
8,4,6,5,8,2,7,7,5,4,7,6,8,3,8,4,X
8,2,10,4,7,1,10,14,1,6,4,11,9,0,8,0,T
7,4,6,6,4,6,8,6,7,3,7,5,7,4,7,7,R
8,3,10,4,7,1,0,1,5,6,0,0,7,0,8,0,L
8,3,4,5,7,2,5,8,7,10,6,7,12,1,7,4,C
8,3,3,5,2,2,9,7,2,8,11,4,7,2,7,3,X
6,3,2,4,3,2,7,8,5,4,8,7,7,5,8,3,N
7,4,7,5,5,4,5,10,3,6,10,9,5,4,10,3,P
8,4,5,6,4,3,7,11,2,3,7,9,8,7,11,1,W
7,3,7,5,5,4,8,7,7,5,6,7,9,5,8,3,U
11,5,8,7,6,5,10,5,3,7,10,4,7,3,7,6,B
7,5,11,8,8,4,10,2,2,3,9,1,8,2,7,3,A
9,2,3,3,2,2,8,7,2,5,11,5,7,2,8,2,B
8,5,6,5,4,2,3,12,3,3,10,11,7,2,11,1,V
8,3,5,5,3,2,6,9,2,4,10,7,7,5,8,1,N
9,5,7,5,5,3,6,7,6,6,9,7,10,2,8,4,G
6,6,10,9,8,11,9,7,4,5,6,7,7,9,7,6,U
9,5,7,6,5,6,8,9,7,3,8,4,6,5,7,7,R
8,8,10,11,8,9,8,7,2,6,10,5,8,3,8,3,H
7,4,4,5,3,3,3,11,3,2,10,10,8,6,11,1,W
10,5,12,5,6,3,14,0,4,2,12,3,11,2,4,2,A
4,5,8,7,11,10,9,8,4,3,6,8,7,6,10,6,P
9,4,9,5,7,4,5,7,6,5,9,8,10,2,8,4,G
9,5,9,7,6,4,7,7,8,7,7,6,9,4,8,4,C
8,2,3,3,2,2,7,6,6,3,7,7,8,5,5,1,M
8,2,7,3,5,2,7,7,3,11,8,6,8,0,8,7,Z
6,3,8,5,6,3,4,12,4,6,11,9,3,0,9,4,P
9,4,10,5,7,4,7,7,8,5,6,4,7,3,9,4,O
9,3,6,5,4,5,7,6,3,4,6,6,8,7,7,6,K
8,2,8,3,6,1,12,2,9,4,13,5,13,1,6,0,J
10,10,15,8,8,5,9,7,7,5,10,2,9,7,5,6,R
7,2,3,2,2,2,7,7,6,6,7,6,5,2,8,2,D
7,6,8,8,7,9,7,9,6,2,7,7,8,7,11,7,G
9,5,6,7,4,3,9,7,2,7,11,3,7,3,8,3,K
7,3,9,4,7,3,5,11,9,2,10,6,4,1,10,3,P
6,6,11,9,8,14,9,7,5,2,7,6,8,14,11,3,W
8,1,0,2,0,0,7,7,2,10,8,6,8,0,8,6,Z
5,5,9,7,7,8,10,6,5,5,6,7,6,10,6,6,U
7,2,1,3,1,0,7,4,2,0,7,1,8,2,6,1,A
8,5,5,7,8,4,9,8,4,2,7,8,8,9,9,0,W
8,3,10,5,8,4,7,4,2,7,7,2,9,1,6,3,L
8,6,7,9,5,6,9,6,2,5,9,5,7,8,4,2,M
9,3,5,6,3,3,7,6,2,8,11,6,10,2,8,4,E
13,4,6,5,9,6,8,13,4,3,4,8,12,4,14,7,Q
8,6,10,9,8,6,7,8,4,8,4,7,9,6,9,1,U
8,1,1,2,1,0,8,7,4,7,5,6,7,0,8,7,S
8,4,4,5,7,3,7,7,15,2,4,6,8,6,8,0,N
8,4,8,5,6,2,6,10,2,2,7,12,8,2,11,0,Y
8,8,11,11,8,9,9,6,3,7,10,4,8,6,8,5,H
5,8,15,7,8,5,6,7,4,7,9,6,7,5,9,7,D
8,4,6,4,4,2,3,11,4,3,10,12,7,2,10,1,V
9,4,8,5,6,3,7,7,7,7,11,6,11,2,9,4,G
9,5,10,5,7,4,6,7,7,6,10,8,11,2,9,4,G
4,5,11,7,8,8,9,7,4,4,8,4,6,4,7,6,J
4,7,9,7,7,4,4,9,2,7,10,11,6,2,12,3,Y
4,3,6,5,4,5,8,7,4,4,7,5,7,5,10,6,N
4,6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,T
8,5,10,7,8,6,8,4,8,5,6,4,8,3,8,3,Q
8,2,6,3,4,2,7,13,0,5,7,10,8,0,8,0,T
8,5,10,7,8,5,7,11,1,8,7,11,8,1,11,1,T
8,1,9,0,6,0,7,7,4,4,7,6,8,0,8,0,I
9,4,6,7,6,6,7,10,6,6,8,7,8,5,9,7,B
7,5,11,7,8,4,8,6,3,6,15,4,9,0,7,0,J
11,4,7,5,5,4,9,6,2,6,11,5,8,3,8,4,E
8,4,10,7,8,5,11,3,1,2,8,2,9,6,4,3,A
10,1,3,2,2,1,6,8,7,7,8,7,13,1,9,4,C
8,7,10,10,8,7,5,6,3,5,9,9,9,8,5,2,M
8,3,9,5,7,3,7,9,4,2,7,13,8,2,10,0,V
8,4,5,5,6,4,9,8,5,4,6,5,8,3,8,9,J
7,6,10,9,7,5,7,8,3,10,12,7,6,1,8,6,Z
9,4,7,6,5,4,6,7,5,7,6,5,10,3,8,5,K
8,4,10,4,7,2,0,2,4,6,1,0,8,0,8,0,L
4,4,8,5,6,3,6,8,4,6,10,9,8,2,9,5,S
6,9,10,9,7,9,4,10,2,3,9,8,8,8,11,2,W
8,2,4,4,5,1,7,10,2,2,7,13,8,1,11,0,Y
7,6,8,8,6,4,4,10,4,4,11,11,10,5,8,1,N
8,3,5,4,4,3,8,7,6,6,6,6,5,2,8,7,B
8,2,5,4,4,2,7,4,1,8,8,2,10,0,7,2,L
8,3,4,4,3,3,7,8,4,5,6,5,7,2,6,4,R
7,6,9,8,7,8,7,10,6,3,5,5,11,5,7,8,G
9,2,3,4,2,2,8,7,3,5,10,5,6,2,8,4,B
9,6,9,5,5,3,7,8,5,6,10,5,9,6,6,6,B
9,3,5,3,4,3,7,8,5,8,7,5,9,2,8,6,E
8,4,9,5,7,3,7,8,2,8,7,6,8,0,7,4,I
4,5,9,5,7,3,6,11,2,8,11,9,4,1,11,3,T
8,4,3,5,4,2,7,6,8,8,6,5,7,3,8,4,O
6,4,7,6,6,5,8,8,2,4,7,7,8,5,7,4,A
8,4,8,5,6,3,6,9,5,6,7,9,9,3,9,1,U
8,6,8,8,7,8,7,10,6,2,7,7,8,6,11,7,G
7,5,10,7,8,6,6,9,2,7,9,8,4,4,10,4,P
8,4,11,5,8,2,7,15,1,6,8,11,8,0,8,0,T
9,3,7,4,5,1,6,7,7,9,7,6,13,1,8,4,C
6,6,10,5,5,3,7,9,2,7,12,7,6,2,9,4,T
8,4,2,5,4,3,9,12,3,7,5,11,9,2,11,1,T
10,3,5,4,5,3,8,7,4,5,7,6,8,3,8,7,L
9,3,8,5,6,3,12,2,3,2,11,2,9,2,6,3,A
8,3,3,4,5,2,6,6,7,9,9,5,13,1,9,4,C
8,4,8,6,6,5,8,6,2,4,9,6,8,7,6,2,M
7,5,6,8,4,4,8,8,2,5,10,4,6,5,9,1,N
10,5,9,5,5,3,10,4,3,3,12,7,11,3,10,4,L
8,4,11,5,8,3,8,8,9,8,6,8,8,3,8,4,O
10,2,5,3,4,3,7,7,6,7,7,6,9,2,8,6,E
8,2,5,4,6,1,7,14,0,6,7,11,8,0,8,0,T
8,3,5,4,3,3,8,7,7,5,7,7,8,2,8,9,S
8,0,7,0,4,0,7,7,4,4,7,6,8,0,8,0,I
9,7,9,7,5,3,6,9,5,3,8,7,5,5,12,3,V
8,5,8,5,6,4,6,7,9,8,7,7,6,2,8,3,D
3,7,8,10,7,11,8,8,5,4,7,6,7,11,10,6,M
8,5,5,8,7,4,7,7,5,2,7,8,8,9,9,0,W
12,4,7,6,6,5,9,5,2,3,8,4,9,4,7,6,K
8,2,2,4,3,2,8,7,3,9,6,6,8,2,8,6,X
8,3,9,5,7,2,7,10,1,3,7,12,8,1,11,0,Y
7,3,4,5,3,3,6,8,1,7,10,7,10,3,8,2,K
8,1,9,0,6,0,7,7,4,4,7,6,8,0,8,0,I
7,2,4,3,2,1,8,2,2,2,8,2,8,2,6,2,A
8,9,9,8,13,5,9,10,2,4,5,11,5,4,10,7,Y
9,1,4,3,3,1,6,5,1,6,8,3,10,1,7,2,L
6,2,5,3,3,1,4,4,4,7,2,2,6,1,7,1,L
7,4,5,5,4,3,8,12,3,7,6,11,8,2,11,1,T
10,3,4,5,3,3,8,7,3,5,10,5,7,2,8,4,B
7,5,10,5,8,3,3,8,6,12,7,5,15,0,8,7,E
8,3,7,5,5,5,7,7,6,2,7,8,8,5,8,3,W
8,2,1,2,1,1,5,7,8,7,6,6,6,2,8,3,D
8,1,1,2,2,1,7,7,11,1,5,6,8,4,8,0,N
7,2,7,4,5,4,7,7,6,5,7,6,4,3,8,2,D
8,5,6,6,4,2,4,13,4,4,10,11,6,3,10,1,V
7,6,10,8,8,8,6,6,6,3,6,6,10,5,8,8,G
7,7,9,9,7,4,7,8,3,5,10,7,7,6,9,1,N
10,5,5,5,7,4,6,7,9,6,7,6,6,2,8,9,B
7,3,6,5,4,3,5,9,6,4,8,7,9,5,9,1,N
8,8,11,6,6,3,7,10,5,3,12,4,4,5,10,4,P
5,8,10,10,9,11,7,7,5,4,7,6,7,8,9,6,N
9,9,14,8,8,5,6,5,5,5,6,8,9,6,8,4,U
8,2,3,4,2,2,7,7,2,7,11,7,9,2,8,4,E
9,2,4,3,2,2,6,7,5,6,9,7,10,1,8,4,G
6,2,3,2,2,1,5,11,5,3,10,7,3,0,9,3,P
10,4,6,4,8,5,8,10,5,1,5,8,11,2,10,5,Q
8,1,4,2,3,1,7,7,1,8,13,6,8,0,8,1,I
6,2,2,3,4,2,4,4,4,7,2,1,6,0,7,1,L
9,2,4,4,3,2,9,6,2,7,11,5,8,1,9,4,S
8,4,4,4,6,3,8,7,12,1,6,9,8,8,6,0,M
8,3,3,5,2,2,7,8,3,6,10,6,7,3,8,3,H
9,6,11,6,8,7,7,8,9,6,6,5,7,2,8,8,B
10,5,5,5,8,4,6,8,9,7,7,5,7,2,8,9,B
8,5,9,6,7,6,6,7,6,9,8,7,10,3,8,6,E
8,5,9,6,7,4,8,7,8,5,7,6,8,3,8,3,O
8,4,7,4,5,3,9,6,7,5,10,4,10,3,8,3,O
8,3,6,5,8,7,8,9,5,0,8,7,6,5,10,5,P
10,6,8,8,6,5,10,6,3,7,10,3,7,4,9,4,H
5,2,7,4,5,2,5,11,2,7,10,9,5,1,10,3,F
8,4,11,5,8,3,8,6,0,7,13,6,9,1,7,3,I
9,5,10,6,8,6,6,8,9,7,7,7,5,3,6,5,D
8,4,11,5,8,4,7,7,9,5,7,6,8,3,8,3,O
8,1,0,2,0,0,7,10,1,3,7,12,8,1,11,0,Y
8,3,8,4,6,4,7,7,12,1,6,6,8,5,8,0,N
11,3,7,4,5,3,8,7,7,5,6,7,9,2,7,5,G
7,4,8,4,6,2,4,8,6,7,11,10,12,2,9,3,C
7,2,7,4,5,3,4,11,5,4,11,8,4,1,10,3,P
9,5,6,6,6,5,8,9,3,6,6,6,9,3,9,7,L
8,1,5,0,7,0,7,7,4,4,7,6,8,0,8,0,I
8,3,3,4,2,1,6,8,6,7,7,10,9,3,10,1,U
8,1,1,2,2,0,8,8,4,7,5,6,7,0,8,7,S
6,6,9,9,7,9,6,8,1,5,10,8,7,8,9,4,F
8,4,8,6,6,6,8,6,7,3,7,5,7,4,6,7,R
8,4,3,5,5,2,7,8,8,8,7,7,8,3,8,4,O
6,4,9,5,4,2,6,8,1,7,11,6,8,3,7,4,X
8,1,3,2,2,1,7,4,1,7,8,2,9,0,7,2,L
8,3,4,4,5,1,7,7,4,4,7,6,8,3,8,4,X
8,4,9,5,6,1,7,7,5,4,7,6,8,3,8,4,X
7,3,5,4,3,3,7,7,7,7,6,6,5,2,8,3,D
8,2,1,2,2,1,6,7,8,7,6,6,6,2,8,3,D
6,3,5,5,4,3,5,8,3,8,11,9,10,2,8,4,E
9,5,5,6,7,6,10,11,6,0,4,7,11,6,14,4,Q
5,2,3,2,1,1,5,10,2,7,10,9,4,1,11,2,Y
8,1,3,1,2,0,7,7,1,8,7,6,8,0,8,3,I
8,2,0,2,1,0,7,7,6,2,7,6,8,3,8,3,X
7,3,9,4,6,2,7,8,0,8,14,6,6,0,8,1,I
7,6,10,8,8,5,6,9,5,7,6,9,10,6,10,1,U
5,3,6,5,4,4,7,10,1,4,9,6,6,4,9,2,F
11,5,5,5,8,2,4,6,8,2,7,7,12,3,8,3,K
10,3,7,4,5,2,8,7,8,6,6,8,9,3,7,5,Q
4,6,9,5,4,2,5,9,4,4,11,9,6,4,10,4,Y
12,7,11,6,8,4,10,6,2,5,11,6,8,2,9,7,J
13,6,14,6,8,4,10,3,4,7,11,3,8,3,9,6,Q
8,1,0,1,0,0,7,7,9,0,6,6,8,3,8,0,N
8,2,8,2,6,2,7,7,0,8,7,6,8,0,8,3,I
6,2,5,3,4,2,4,4,5,7,2,2,6,1,6,1,L
8,1,0,2,1,0,2,1,6,5,0,2,4,0,8,0,L
8,5,7,7,8,6,8,9,4,5,7,6,7,3,8,9,J
11,7,12,6,7,3,8,4,4,7,11,4,10,3,7,8,Q
8,1,0,2,0,0,8,4,2,0,7,2,8,1,6,1,A
10,2,4,4,3,2,9,7,2,6,10,3,6,2,7,3,R
7,4,8,4,6,3,2,12,5,6,11,10,8,0,8,2,F
8,4,10,6,7,7,7,7,3,6,7,7,10,4,9,8,E
8,7,10,7,8,3,3,11,4,4,10,12,8,2,10,1,V
8,2,0,2,1,0,8,5,11,4,7,13,8,3,10,0,U
9,3,2,4,3,2,7,6,6,6,6,6,10,2,9,4,G
7,6,8,6,6,4,3,10,3,3,11,10,8,7,10,2,W
7,3,4,4,3,2,7,7,6,4,9,6,8,2,8,3,O
11,5,5,6,8,4,6,9,10,5,6,5,8,3,8,6,R
4,6,9,5,4,2,5,10,2,7,13,7,5,2,8,4,T
11,8,12,7,6,4,10,3,3,4,10,2,6,4,7,5,G
8,2,10,3,7,2,9,7,0,7,13,5,8,0,8,1,I
10,6,10,8,8,7,6,6,6,6,6,5,8,6,7,4,L
7,7,10,8,8,4,4,8,6,9,12,9,13,2,9,3,C
8,5,10,5,7,3,3,11,3,4,10,12,8,2,10,1,V
8,3,3,5,5,3,5,8,5,1,7,8,8,8,10,0,W
10,3,7,5,5,5,7,9,6,3,7,7,9,5,9,5,M
5,4,9,6,6,8,8,9,5,4,8,7,6,7,10,10,D
7,4,7,6,5,3,9,7,3,4,10,5,6,5,8,1,N
8,4,5,6,7,3,9,6,9,8,8,4,9,3,8,4,O
12,3,6,5,5,4,11,5,3,3,10,3,8,4,6,6,K
9,4,8,5,6,6,6,7,5,7,7,6,10,3,8,5,E
7,5,9,7,6,8,7,8,5,3,8,5,8,4,8,10,S
8,6,11,8,8,6,6,13,6,3,12,6,2,1,11,3,P
7,6,11,6,8,4,4,8,5,6,12,10,11,2,10,3,C
7,4,7,6,5,3,6,10,1,6,13,7,5,1,10,2,F
8,1,10,0,8,1,7,7,5,3,7,6,8,0,8,0,I
7,2,3,2,1,1,7,8,6,4,7,6,7,4,8,1,N
5,9,12,9,6,5,4,8,2,4,8,10,8,10,10,2,W
9,3,8,4,6,2,5,7,6,8,8,6,12,1,9,4,C
8,4,6,5,4,4,8,9,3,5,10,5,5,3,8,5,B
7,3,5,6,6,2,6,5,3,1,6,0,8,2,7,2,A
10,4,8,6,10,7,8,8,8,2,5,6,11,3,8,6,Q
5,5,10,6,8,6,8,6,11,1,6,8,8,9,5,2,M
7,2,4,3,2,1,5,9,4,7,11,9,11,1,9,2,C
7,5,10,6,8,7,8,7,4,8,6,5,6,6,8,3,D
9,5,8,7,6,5,7,7,2,7,11,6,9,3,8,4,E
11,5,7,7,6,5,9,5,2,4,8,4,9,5,8,7,K
7,6,11,8,8,5,6,6,6,7,6,6,8,3,8,4,G
5,5,10,5,5,3,5,8,2,9,11,8,8,3,6,6,Z
6,3,8,3,5,1,0,13,4,4,12,11,7,0,8,2,F
7,7,8,5,11,4,7,6,6,5,10,7,7,3,9,9,Z
7,2,2,3,3,3,8,8,6,6,7,6,7,3,8,3,H
12,5,11,5,6,4,11,5,4,6,10,4,7,4,9,6,Q
8,2,0,2,1,1,6,7,8,7,7,6,6,2,8,3,D
8,4,10,4,7,2,7,6,14,5,7,13,8,3,9,0,U
6,6,7,6,5,4,3,10,2,3,10,10,8,6,11,2,W
9,2,1,3,1,2,7,7,5,5,7,6,6,1,8,5,B
7,1,3,2,2,1,7,8,1,7,13,6,8,0,8,1,I
6,6,10,6,8,6,2,11,2,2,10,9,7,6,11,2,W
8,3,6,4,4,2,7,7,14,2,5,6,8,6,8,0,N
10,4,7,6,5,5,6,6,7,4,6,5,8,3,7,6,H
7,8,11,7,8,5,4,11,1,3,8,10,8,5,12,1,V
8,3,9,4,7,1,12,2,10,4,13,6,13,1,6,0,J
5,5,7,6,5,4,7,9,1,9,10,9,5,0,9,3,T
7,4,7,6,5,3,5,5,5,7,6,5,9,2,10,4,G
9,6,10,8,8,7,8,8,6,6,6,5,7,3,6,6,R
7,3,9,4,6,3,6,8,0,7,13,7,8,0,8,1,I
8,4,7,5,6,2,8,6,8,6,6,6,8,3,8,4,Q
10,2,1,2,1,1,7,7,7,5,6,5,7,1,8,7,B
8,4,9,6,6,2,8,4,3,1,7,1,8,3,7,2,A
7,4,8,6,6,7,7,6,4,3,7,7,8,10,8,5,U
9,3,8,4,6,4,6,7,5,8,7,5,10,3,8,5,E
7,6,9,6,6,6,3,11,2,3,10,10,8,6,11,2,W
8,5,7,7,5,5,5,7,2,6,10,8,11,3,8,3,K
7,3,7,4,5,2,3,8,5,8,9,9,13,1,8,3,C
7,7,10,6,5,4,8,4,4,3,8,6,10,4,9,6,G
8,5,11,5,8,3,0,1,5,6,0,0,7,0,8,0,L
7,2,3,4,4,2,10,6,2,6,12,4,9,1,6,1,J
8,4,10,5,7,3,5,7,10,9,6,6,5,3,8,4,D
8,7,13,7,7,5,10,6,4,5,10,2,7,6,7,6,R
8,5,7,7,5,3,7,11,3,6,14,5,2,0,10,3,P
10,4,6,6,4,5,9,4,4,4,9,6,9,4,7,9,S
8,7,9,10,7,7,8,6,3,5,9,7,8,8,5,2,M
7,4,2,5,4,3,7,7,3,9,6,6,7,2,8,6,X
